CSD refcode,name,source,cell symmetry,alternative names,elements,modifications,notes
FIQCEN,HKUST-1,CoRE,rhombohedral,"CuBTC,Cu3(BTC)2,MOF-199,BASF BASOLITE C-300","H,C,O,Cu",,first synthesis in 1999
SAHYIK,MOF-5,CSD,rhombohedral,IRMOF-1,"H,C,O,Zn",reduced to primitive,first synthesis in 1999
NAVJAW,Co-MOF-74,CoRE,triclinic,"CPO-27,CoDOBDC","H,C,O,Co",,first synthesis in 2005
VOGTIV,Mg-MOF-74,NAVJAW,triclinic,,"H,C,O,Mg",substituted metal,first synthesis in 2007
ORIWET,Mn-MOF-74,NAVJAW,triclinic,,"H,C,O,Mn",substituted metal,
WOQVAB,Fe-MOF-74,NAVJAW,triclinic,,"H,C,O,Fe",substituted metal,
ORIVUI,Ni-MOF-74,NAVJAW,triclinic,,"H,C,O,Ni",substituted metal,
COKNIB,Cu-MOF-74,NAVJAW,triclinic,,"H,C,O,Cu",substituted metal,
ORIVOC,Zn-MOF-74,NAVJAW,triclinic,,"H,C,O,Zn",substituted metal,
OLEYAH,UTSA-74,CSD,rhombohedral,,"H,C,O,Zn",reduced to primitive,"isomer of Zn-MOF-75, first synthesis 2016"
SENSAI,BUT-155,CSD,tetragonal_ab,,"H,C,O,Cu",fixed symmetry methyls,super-stable Cu paddlewheel  
VEJYUF,ZIF-4,Raspa,orthorombic,,"H,C,N,Zn",,first synthesis in 2006
VELVOY,ZIF-8,Raspa,cubic,BASF BASOLITE Z1200,"H,C,N,Zn",,first synthesis in 2006
RUPRUQ,MIL-125,dft-opt,tetragonal_ab,,"H,C,O,Ti",,first synthesis in 2009
RUBTAK,UIO-66,CoRE,rhombohedral,,"H,C,O,Zr",added 4 H to have neutrality,first synthesis 2008
FIFFUX,NU-1000,manual,monoclinic_gamma_ab,,"H,C,O,Zr",,"first synthesized in 2013, protonation state mixS1 most stable from 10.1021/jz501899j"
KAXQIL,SBMOF-1,CoRE,triclinic,,"H,C,O,S,Ca",,found as a good material for Xe/Kr separation 10.1038/ncomms11831
ANUGIA,UMCM-152,CoRE,rhombohedral,,"H,C,O,Cu",,found as a good material for O2 volumetric storage 10.1038/s41467-018-03892-8
XITYOP,PCN-14,CoRE,triclinic,,"H,C,O,Cu",,good material for CH4 volumetric storage
ZOJWAY,UTSA-80,tofix,,,"H,C,O,Cu",,extended PCN-14 with improved CH4 volumetric storage
UTEWOG,Ni3(BTP)2,CoRE,cubic,,"H,C,N,Ni",,good material for warfare agents capture in humid conditions 10.1021/acs.chemmater.8b00843
KISXIU,UMCM-1,dft-opt w/exp cell,monoclinic_gamma_ab,,"H,C,O,Zn",,stable and large channels
ZIGFEC,Cr3(BTC)2,FIQCEN ,rhombohedral,,"H,C,O,Cr",substituted metal,clean analog of HKUST-1
XUPSAE,NOTT-300,CSD,tetragonal_ab,,"H,C,O,Al",desolvated,"elegant, stable"
DOYBEA,Aluminum fumarate,CSD,monoclinic_gamma_ab,"MIL-53(Al)-FA, BasoliteA250","H, C, O, Al ",desolvated,one of the MOFs that is produced on an industrial scale (10.1016/j.micromeso.2011.08.016)  Structure reported in 10.1002/anie.201410459. 
VEBHUG,IRMOF-20 ,CoRE,triclinic,,"H, C, O, Zn ",,"exceptional H2 storage, first synthesis 2006 "
HABQUY,PCN-610,CoRE,cubic,NU-100,"H, C, O, Cu",,"exceptional H2 storage (Ahmed et al., Nat. Comm. 2019) "
REWNEO,NU-125,CSD,tetragonal_ab,,"H, C, N,  O, Cu",,exceptional methane storage
UPOZAB,MFU-4l,CORE,triclinic,,"H, C, N, Cl, Zn",,Bucior et al. Found it in CSD screening for H2 storage
CEFNEJ,She-MOF-1,CSD,cubic,,"H, C, O, Cu",,Gómez-Gualdrón screening for H2. But unstable. 
FARBIL,MOF-48,CSD,orthorombic,,"H,C,O,V",removed guest molecule,"Gee et al., Xylene enrichment "
BABRII,MOF-177,CSD,rhombohedral,,"H, C, N,  O, Cu",,first MOF with extra-large pores capable of binding polycyclic organic guest molecules (10.1038/nature02311)
SEMNIJ,NU-110E,CSD,cubc,,"H, C, O, Cu",,probably MOF with highest BET area (10.1021/ja3055639?rand=7yqopx7y) 
LASYOU,MOF-505,CORE,triclinic,,"H, C,  O, Cu",,
PITYUN,FMOF-1,CSD,tetragonal_ab,,"C, F, N, Ag",,
SAPBIW,Bio-MOF-100,CSD,cubic,,"C, H, N, O, Zn",,increase vertex (instead of linker length) to increase pores
ONIXOZ,UTSA-20,CSD,hexagonal,,"C, H, O, Cu",,
MEHMET,NU-111,CORE,triclinic,,"C, H, O, Cu",,
EXEQII,NOTT-400,CSD,tetragonal_ab,,"C, H, O, Sc",,
CUSYAR,MOF-210,CSD,rhombohedral,,"C, H, O, Zn",,
